Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2020-08-07,12.539999961853027,249.0,258.7300109863281,65.7735824584961,34.09000015258789,333.236083984375,4,0.05,0.21,0.0,0.69,0.06,118.0,24.0,0.0,340.0,58.0,31795.958040237427,11330.02685546875
2020-08-10,13.029999732971191,250.0500030517578,250.0,64.85437774658203,31.610000610351562,334.2320861816406,0,0.05,0.21,0.0,0.69,0.06,118.0,24.0,0.0,340.0,58.0,31422.60851097107,11363.890930175781
2020-08-11,12.800000190734863,244.49000549316406,231.0399932861328,62.78614807128906,32.040000915527344,331.4731140136719,1,0.0,0.69,0.0,0.0,0.31,0.0,87.0,0.0,0.0,294.0,30583.77055168152,11270.085876464844
2020-08-12,13.210000038146973,240.92999267578125,236.72000122070312,63.095882415771484,33.7400016784668,336.0946350097656,2,0.0,0.69,0.0,0.0,0.31,0.0,87.0,0.0,0.0,294.0,30880.469856262207,11427.217590332031
2020-08-13,14.40999984741211,243.99000549316406,247.25,63.36564636230469,36.04999923706055,335.4870300292969,3,0.0,0.69,0.0,0.0,0.31,0.0,87.0,0.0,0.0,294.0,31825.830253601074,11406.559020996094
2020-08-14,14.170000076293945,240.05999755859375,244.91000366210938,61.35737228393555,33.90999984741211,335.49700927734375,4,0.0,0.69,0.0,0.0,0.31,0.0,87.0,0.0,0.0,294.0,30854.759742736816,11406.898315429688
2020-08-17,14.25,247.8000030517578,266.1499938964844,62.00681686401367,34.68000030517578,336.562744140625,0,0.0,0.69,0.0,0.0,0.31,0.0,87.0,0.0,0.0,294.0,31754.52035522461,11443.13330078125
2020-08-18,17.0,251.94000244140625,276.79998779296875,61.846954345703125,37.209999084472656,337.28985595703125,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,32858.519943237305,11467.855102539062
2020-08-19,16.889999389648438,251.0,273.510009765625,62.106727600097656,36.27000045776367,335.8854675292969,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,32547.691162109375,11420.105895996094
2020-08-20,16.360000610351562,257.6499938964844,290.69000244140625,60.48811721801758,36.31999969482422,336.9312744140625,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,34592.110290527344,11455.663330078125
