Date,High,Low,Open,Close,Volume,Adj Close
2015-10-28,201.24633229573567,198.33199971516927,199.81416651407878,199.89766743977864,152220588.33333334,180.70355911254882
2015-10-29,201.21233240763345,198.3066665649414,199.77916666666667,199.87700068155925,152299566.66666666,180.70123926798502
2015-10-30,201.1959991455078,198.30816675821941,199.75866673787434,199.87000045776367,152550335.0,180.711173248291
2015-11-02,201.23399912516277,198.3298334757487,199.76133346557617,199.91066716512043,152023881.66666666,180.76428197224934
2015-11-03,201.2504992167155,198.33683344523112,199.77283350626627,199.9178337097168,152273471.66666666,180.7872299194336
2015-11-04,201.2843325297038,198.36950022379557,199.81250025431316,199.94600041707358,151775856.66666666,180.82906392415364
2015-11-05,201.31499913533528,198.43166681925456,199.86783345540366,199.96650034586588,150213940.0,180.86396865844728
2015-11-06,201.3278325398763,198.43916702270508,199.8846669514974,199.98950017293294,150565410.0,180.90111897786457
2015-11-09,201.32749938964844,198.41733373006184,199.89933369954426,199.96716690063477,151535780.0,180.8972376505534
2015-11-10,201.2943328857422,198.40116704305012,199.87933349609375,199.93333358764647,151482480.0,180.8830243428548
2015-11-11,201.2653330485026,198.3671671549479,199.8563336690267,199.89600041707357,151418368.33333334,180.8655916849772
2015-11-12,201.21616643269857,198.3250005086263,199.81316706339518,199.8380002339681,150557855.0,180.82929560343425
2015-11-13,201.15583318074545,198.30066731770833,199.77716725667318,199.8141667683919,149878675.0,180.82362899780273
2015-11-16,201.18499984741212,198.378333791097,199.7870007832845,199.94399998982746,146062953.33333334,180.95676879882814
2015-11-17,201.34433314005534,198.75300064086915,200.09533411661783,200.21016667683918,139627610.0,181.21283213297525
2015-11-18,201.56849975585936,199.0708340962728,200.2721674601237,200.5678332010905,135486100.0,181.55165837605793
2015-11-19,201.80616658528646,199.40133412679037,200.54733403523764,200.80266647338868,131302158.33333333,181.77970809936522
2015-11-20,201.98449986775717,199.62883402506512,200.75450057983397,200.96999969482422,128299951.66666667,181.94695078531902
2015-11-23,202.15349985758465,199.80550079345704,200.93583399454752,201.13316650390624,126708565.0,182.11041692097982
2015-11-24,202.33183314005535,199.97883427937825,201.09850056966147,201.32783330281575,125634825.0,182.30230916341145
2015-11-25,202.5813331604004,200.28350092569988,201.37150065104166,201.62033335367838,122234486.66666667,182.58241907755533
2015-11-27,202.82033309936523,200.55750096638997,201.6183339436849,201.85616658528645,120185295.0,182.81144943237305
2015-11-30,203.0176663716634,200.78416748046874,201.84316736857096,202.07516657511394,119530876.66666667,183.02523295084634
2015-12-01,203.30033315022786,201.07583414713542,202.11966730753582,202.37666651407878,117710500.0,183.31356404622395
2015-12-02,203.52349980672201,201.293500773112,202.36433385213215,202.56166661580403,117584093.33333333,183.49667638142904
2015-12-03,203.68483301798503,201.46683400472006,202.52283376057943,202.74200007120768,117865368.33333333,183.67535196940105
2015-12-04,203.89733301798503,201.65616734822592,202.7070004781087,202.97149988810222,118437081.66666667,183.89867630004883
2015-12-07,204.1124994913737,201.867333984375,202.93783365885417,203.16499989827474,118142680.0,184.08943913777668
2015-12-08,204.30049947102864,202.03983408610026,203.09683380126953,203.3473332722982,118541353.33333333,184.2700230916341
2015-12-09,204.4619992574056,202.17683385213215,203.2565004984538,203.4619997660319,119351275.0,184.38946431477865
2015-12-10,204.57899907430013,202.28900044759115,203.3665003458659,203.55683314005535,119627063.33333333,184.49106318155924
2015-12-11,204.59983240763347,202.32616704305013,203.42200037638347,203.59266662597656,118545841.66666667,184.53914845784504
